[cache] data_root = /root/data/FaceForensics++
[cache] variant = heuristic
[cache] image_size = 256
[cache] device = cpu
[cache] dataset has 50000 frames
[cache] 0 frames already cached, 50000 new to process
[cache] threading: 4 python worker threads x rayon (RAYON_NUM_THREADS=default=all-cores)
  [25/50000] 14.63 img/s ETA 3416s
  [50/50000] 16.39 img/s ETA 3047s
  [75/50000] 17.30 img/s ETA 2885s
  [100/50000] 17.27 img/s ETA 2889s
  [125/50000] 18.24 img/s ETA 2735s
  [150/50000] 18.91 img/s ETA 2636s
  [175/50000] 19.40 img/s ETA 2568s
  [200/50000] 19.99 img/s ETA 2491s
  [225/50000] 19.33 img/s ETA 2575s
  [250/50000] 19.33 img/s ETA 2574s
  [275/50000] 19.62 img/s ETA 2535s
  [300/50000] 18.94 img/s ETA 2624s
  [325/50000] 17.05 img/s ETA 2913s
  [350/50000] 16.48 img/s ETA 3012s
  [375/50000] 16.60 img/s ETA 2990s
  [400/50000] 16.86 img/s ETA 2942s
  [425/50000] 17.10 img/s ETA 2898s
  [450/50000] 17.21 img/s ETA 2879s
  [475/50000] 17.42 img/s ETA 2843s
  [500/50000] 17.57 img/s ETA 2818s
  [525/50000] 17.58 img/s ETA 2815s
  [550/50000] 17.34 img/s ETA 2851s
  [575/50000] 17.35 img/s ETA 2849s
  [600/50000] 17.56 img/s ETA 2813s
  [625/50000] 17.70 img/s ETA 2789s
  [650/50000] 17.94 img/s ETA 2751s
  [675/50000] 18.05 img/s ETA 2732s
  [700/50000] 18.07 img/s ETA 2728s
  [725/50000] 18.22 img/s ETA 2704s
  [750/50000] 18.19 img/s ETA 2708s
  [775/50000] 18.03 img/s ETA 2730s
  [800/50000] 17.71 img/s ETA 2778s
  [825/50000] 17.82 img/s ETA 2759s
  [850/50000] 17.55 img/s ETA 2800s
  [875/50000] 17.65 img/s ETA 2784s
  [900/50000] 17.73 img/s ETA 2769s
  [925/50000] 17.81 img/s ETA 2755s
  [950/50000] 17.92 img/s ETA 2737s
  [975/50000] 18.05 img/s ETA 2717s
  [1000/50000] 18.16 img/s ETA 2698s
  [1025/50000] 18.24 img/s ETA 2685s
  [1050/50000] 18.11 img/s ETA 2703s
  [1075/50000] 18.25 img/s ETA 2681s
  [1100/50000] 18.21 img/s ETA 2686s
  [1125/50000] 18.27 img/s ETA 2676s
  [1150/50000] 18.36 img/s ETA 2661s
  [1175/50000] 18.43 img/s ETA 2649s
  [1200/50000] 18.45 img/s ETA 2644s
  [1225/50000] 18.28 img/s ETA 2668s
  [1250/50000] 18.28 img/s ETA 2667s
  [1275/50000] 18.31 img/s ETA 2660s
  [1300/50000] 18.30 img/s ETA 2662s
  [1325/50000] 18.33 img/s ETA 2656s
  [1350/50000] 18.37 img/s ETA 2649s
  [1375/50000] 18.35 img/s ETA 2651s
  [1400/50000] 18.35 img/s ETA 2649s
  [1425/50000] 18.26 img/s ETA 2660s
  [1450/50000] 18.28 img/s ETA 2656s
  [1475/50000] 18.36 img/s ETA 2643s
  [1500/50000] 18.46 img/s ETA 2628s
  [1525/50000] 18.49 img/s ETA 2622s
  [1550/50000] 18.53 img/s ETA 2614s
  [1575/50000] 18.60 img/s ETA 2604s
  [1600/50000] 18.66 img/s ETA 2593s
  [1625/50000] 18.54 img/s ETA 2610s
  [1650/50000] 18.54 img/s ETA 2608s
  [1675/50000] 18.57 img/s ETA 2602s
  [1700/50000] 18.51 img/s ETA 2610s
  [1725/50000] 18.59 img/s ETA 2597s
  [1750/50000] 18.67 img/s ETA 2584s
  [1775/50000] 18.63 img/s ETA 2589s
  [1800/50000] 18.70 img/s ETA 2578s
  [1825/50000] 18.72 img/s ETA 2574s
  [1850/50000] 18.63 img/s ETA 2585s
  [1875/50000] 18.66 img/s ETA 2579s
  [1900/50000] 18.69 img/s ETA 2573s
  [1925/50000] 18.71 img/s ETA 2569s
  [1950/50000] 18.70 img/s ETA 2569s
  [1975/50000] 18.74 img/s ETA 2562s
  [2000/50000] 18.80 img/s ETA 2553s
  [2025/50000] 18.85 img/s ETA 2545s
  [2050/50000] 18.80 img/s ETA 2550s
  [2075/50000] 18.69 img/s ETA 2564s
  [2100/50000] 18.72 img/s ETA 2559s
  [2125/50000] 18.77 img/s ETA 2550s
  [2150/50000] 18.79 img/s ETA 2546s
  [2175/50000] 18.82 img/s ETA 2541s
  [2200/50000] 18.87 img/s ETA 2533s
  [2225/50000] 18.90 img/s ETA 2528s
  [2250/50000] 18.92 img/s ETA 2524s
  [2275/50000] 18.85 img/s ETA 2532s
  [2300/50000] 18.89 img/s ETA 2526s
  [2325/50000] 18.87 img/s ETA 2526s
  [2350/50000] 18.94 img/s ETA 2516s
  [2375/50000] 18.99 img/s ETA 2508s
  [2400/50000] 19.00 img/s ETA 2505s
  [2425/50000] 19.03 img/s ETA 2500s
  [2450/50000] 19.07 img/s ETA 2493s
  [2475/50000] 19.07 img/s ETA 2492s
  [2500/50000] 19.10 img/s ETA 2487s
  [2525/50000] 18.95 img/s ETA 2506s
  [2550/50000] 19.00 img/s ETA 2497s
  [2575/50000] 19.05 img/s ETA 2489s
  [2600/50000] 19.08 img/s ETA 2484s
  [2625/50000] 19.00 img/s ETA 2493s
  [2650/50000] 19.03 img/s ETA 2488s
  [2675/50000] 19.07 img/s ETA 2481s
  [2700/50000] 19.08 img/s ETA 2479s
  [2725/50000] 19.08 img/s ETA 2478s
  [2750/50000] 19.00 img/s ETA 2487s
  [2775/50000] 18.98 img/s ETA 2489s
  [2800/50000] 18.98 img/s ETA 2487s
  [2825/50000] 18.96 img/s ETA 2488s
  [2850/50000] 18.99 img/s ETA 2483s
  [2875/50000] 18.99 img/s ETA 2481s
  [2900/50000] 19.03 img/s ETA 2475s
  [2925/50000] 18.93 img/s ETA 2487s
  [2950/50000] 18.88 img/s ETA 2492s
  [2975/50000] 18.90 img/s ETA 2488s
  [3000/50000] 18.93 img/s ETA 2482s
  [3025/50000] 18.95 img/s ETA 2478s
  [3050/50000] 18.97 img/s ETA 2475s
  [3075/50000] 19.02 img/s ETA 2467s
  [3100/50000] 18.93 img/s ETA 2478s
  [3125/50000] 18.96 img/s ETA 2472s
  [3150/50000] 18.99 img/s ETA 2468s
  [3175/50000] 18.94 img/s ETA 2472s
  [3200/50000] 18.96 img/s ETA 2468s
  [3225/50000] 18.88 img/s ETA 2477s
  [3250/50000] 18.84 img/s ETA 2481s
  [3275/50000] 18.86 img/s ETA 2477s
  [3300/50000] 18.81 img/s ETA 2483s
  [3325/50000] 18.84 img/s ETA 2478s
  [3350/50000] 18.86 img/s ETA 2473s
  [3375/50000] 18.83 img/s ETA 2476s
  [3400/50000] 18.78 img/s ETA 2482s
  [3425/50000] 18.73 img/s ETA 2487s
  [3450/50000] 18.71 img/s ETA 2488s
  [3475/50000] 18.73 img/s ETA 2483s
  [3500/50000] 18.77 img/s ETA 2477s
  [3525/50000] 18.79 img/s ETA 2473s
  [3550/50000] 18.81 img/s ETA 2469s
  [3575/50000] 18.84 img/s ETA 2464s
  [3600/50000] 18.86 img/s ETA 2460s
  [3625/50000] 18.86 img/s ETA 2459s
  [3650/50000] 18.88 img/s ETA 2455s
  [3675/50000] 18.87 img/s ETA 2454s
  [3700/50000] 18.91 img/s ETA 2449s
  [3725/50000] 18.92 img/s ETA 2445s
  [3750/50000] 18.96 img/s ETA 2439s
  [3775/50000] 18.98 img/s ETA 2436s
  [3800/50000] 18.92 img/s ETA 2442s
  [3825/50000] 18.93 img/s ETA 2439s
  [3850/50000] 18.96 img/s ETA 2435s
  [3875/50000] 18.99 img/s ETA 2429s
  [3900/50000] 18.94 img/s ETA 2434s
  [3925/50000] 18.95 img/s ETA 2432s
  [3950/50000] 18.97 img/s ETA 2427s
  [3975/50000] 18.90 img/s ETA 2435s
  [4000/50000] 18.89 img/s ETA 2435s
  [4025/50000] 18.86 img/s ETA 2438s
  [4050/50000] 18.88 img/s ETA 2433s
  [4075/50000] 18.90 img/s ETA 2429s
  [4100/50000] 18.89 img/s ETA 2430s
  [4125/50000] 18.89 img/s ETA 2428s
  [4150/50000] 18.90 img/s ETA 2427s
  [4175/50000] 18.89 img/s ETA 2427s
  [4200/50000] 18.88 img/s ETA 2426s
  [4225/50000] 18.88 img/s ETA 2425s
  [4250/50000] 18.87 img/s ETA 2424s
  [4275/50000] 18.89 img/s ETA 2420s
  [4300/50000] 18.84 img/s ETA 2425s
  [4325/50000] 18.86 img/s ETA 2421s
  [4350/50000] 18.86 img/s ETA 2421s
  [4375/50000] 18.85 img/s ETA 2421s
  [4400/50000] 18.88 img/s ETA 2416s
  [4425/50000] 18.90 img/s ETA 2411s
  [4450/50000] 18.93 img/s ETA 2407s
  [4475/50000] 18.95 img/s ETA 2402s
  [4500/50000] 18.97 img/s ETA 2399s
  [4525/50000] 19.00 img/s ETA 2393s
  [4550/50000] 18.97 img/s ETA 2395s
  [4575/50000] 18.97 img/s ETA 2394s
  [4600/50000] 18.98 img/s ETA 2392s
  [4625/50000] 18.98 img/s ETA 2391s
  [4650/50000] 18.98 img/s ETA 2390s
  [4675/50000] 18.99 img/s ETA 2386s
  [4700/50000] 18.97 img/s ETA 2388s
  [4725/50000] 18.98 img/s ETA 2385s
  [4750/50000] 19.00 img/s ETA 2382s
  [4775/50000] 19.00 img/s ETA 2380s
  [4800/50000] 19.01 img/s ETA 2378s
  [4825/50000] 18.99 img/s ETA 2379s
  [4850/50000] 18.98 img/s ETA 2379s
  [4875/50000] 18.97 img/s ETA 2379s
  [4900/50000] 18.93 img/s ETA 2383s
  [4925/50000] 18.95 img/s ETA 2378s
  [4950/50000] 18.98 img/s ETA 2374s
  [4975/50000] 18.93 img/s ETA 2379s
  [5000/50000] 18.93 img/s ETA 2377s
  [5025/50000] 18.94 img/s ETA 2374s
  [5050/50000] 18.95 img/s ETA 2372s
  [5075/50000] 18.96 img/s ETA 2369s
  [5100/50000] 18.91 img/s ETA 2374s
  [5125/50000] 18.92 img/s ETA 2372s
  [5150/50000] 18.95 img/s ETA 2367s
  [5175/50000] 18.96 img/s ETA 2364s
  [5200/50000] 18.98 img/s ETA 2361s
  [5225/50000] 18.97 img/s ETA 2360s
  [5250/50000] 19.00 img/s ETA 2355s
  [5275/50000] 19.01 img/s ETA 2352s
  [5300/50000] 19.03 img/s ETA 2349s
  [5325/50000] 19.02 img/s ETA 2348s
  [5350/50000] 19.01 img/s ETA 2349s
  [5375/50000] 18.97 img/s ETA 2352s
  [5400/50000] 18.96 img/s ETA 2352s
  [5425/50000] 18.97 img/s ETA 2350s
  [5450/50000] 18.97 img/s ETA 2348s
  [5475/50000] 18.95 img/s ETA 2349s
  [5500/50000] 18.97 img/s ETA 2346s
  [5525/50000] 18.97 img/s ETA 2344s
  [5550/50000] 19.00 img/s ETA 2339s
  [5575/50000] 19.00 img/s ETA 2338s
  [5600/50000] 19.02 img/s ETA 2335s
  [5625/50000] 19.01 img/s ETA 2334s
  [5650/50000] 19.02 img/s ETA 2332s
  [5675/50000] 19.01 img/s ETA 2332s
  [5700/50000] 18.99 img/s ETA 2333s
  [5725/50000] 19.00 img/s ETA 2331s
  [5750/50000] 19.00 img/s ETA 2329s
  [5775/50000] 18.98 img/s ETA 2330s
  [5800/50000] 18.99 img/s ETA 2327s
  [5825/50000] 19.01 img/s ETA 2324s
  [5850/50000] 18.97 img/s ETA 2327s
  [5875/50000] 18.96 img/s ETA 2327s
  [5900/50000] 18.96 img/s ETA 2326s
  [5925/50000] 18.91 img/s ETA 2330s
  [5950/50000] 18.91 img/s ETA 2329s
  [5975/50000] 18.92 img/s ETA 2327s
  [6000/50000] 18.92 img/s ETA 2325s
  [6025/50000] 18.94 img/s ETA 2321s
  [6050/50000] 18.94 img/s ETA 2320s
  [6075/50000] 18.96 img/s ETA 2317s
  [6100/50000] 18.96 img/s ETA 2315s
  [6125/50000] 18.95 img/s ETA 2316s
  [6150/50000] 18.95 img/s ETA 2314s
  [6175/50000] 18.96 img/s ETA 2312s
  [6200/50000] 18.97 img/s ETA 2309s
  [6225/50000] 18.97 img/s ETA 2307s
  [6250/50000] 18.96 img/s ETA 2308s
  [6275/50000] 18.97 img/s ETA 2306s
  [6300/50000] 18.92 img/s ETA 2310s
  [6325/50000] 18.92 img/s ETA 2309s
  [6350/50000] 18.92 img/s ETA 2307s
  [6375/50000] 18.93 img/s ETA 2304s
  [6400/50000] 18.92 img/s ETA 2304s
  [6425/50000] 18.94 img/s ETA 2301s
  [6450/50000] 18.91 img/s ETA 2302s
  [6475/50000] 18.93 img/s ETA 2299s
  [6500/50000] 18.94 img/s ETA 2297s
  [6525/50000] 18.92 img/s ETA 2298s
  [6550/50000] 18.90 img/s ETA 2298s
  [6575/50000] 18.92 img/s ETA 2295s
  [6600/50000] 18.94 img/s ETA 2292s
  [6625/50000] 18.92 img/s ETA 2293s
  [6650/50000] 18.87 img/s ETA 2297s
  [6675/50000] 18.88 img/s ETA 2295s
  [6700/50000] 18.88 img/s ETA 2293s
  [6725/50000] 18.87 img/s ETA 2293s
  [6750/50000] 18.88 img/s ETA 2290s
  [6775/50000] 18.90 img/s ETA 2287s
  [6800/50000] 18.91 img/s ETA 2285s
  [6825/50000] 18.91 img/s ETA 2283s
  [6850/50000] 18.92 img/s ETA 2281s
  [6875/50000] 18.92 img/s ETA 2280s
  [6900/50000] 18.93 img/s ETA 2277s
  [6925/50000] 18.93 img/s ETA 2276s
  [6950/50000] 18.93 img/s ETA 2275s
  [6975/50000] 18.93 img/s ETA 2273s
  [7000/50000] 18.93 img/s ETA 2272s
  [7025/50000] 18.94 img/s ETA 2269s
  [7050/50000] 18.94 img/s ETA 2268s
  [7075/50000] 18.92 img/s ETA 2269s
  [7100/50000] 18.89 img/s ETA 2272s
  [7125/50000] 18.87 img/s ETA 2272s
  [7150/50000] 18.88 img/s ETA 2270s
  [7175/50000] 18.88 img/s ETA 2268s
  [7200/50000] 18.90 img/s ETA 2265s
  [7225/50000] 18.90 img/s ETA 2263s
  [7250/50000] 18.88 img/s ETA 2264s
  [7275/50000] 18.89 img/s ETA 2262s
  [7300/50000] 18.90 img/s ETA 2259s
  [7325/50000] 18.92 img/s ETA 2256s
  [7350/50000] 18.89 img/s ETA 2258s
  [7375/50000] 18.87 img/s ETA 2259s
  [7400/50000] 18.88 img/s ETA 2256s
  [7425/50000] 18.89 img/s ETA 2254s
  [7450/50000] 18.87 img/s ETA 2255s
  [7475/50000] 18.85 img/s ETA 2256s
  [7500/50000] 18.83 img/s ETA 2257s
  [7525/50000] 18.78 img/s ETA 2262s
  [7550/50000] 18.78 img/s ETA 2261s
  [7575/50000] 18.79 img/s ETA 2258s
  [7600/50000] 18.79 img/s ETA 2257s
  [7625/50000] 18.79 img/s ETA 2255s
  [7650/50000] 18.79 img/s ETA 2254s
  [7675/50000] 18.80 img/s ETA 2252s
  [7700/50000] 18.77 img/s ETA 2254s
  [7725/50000] 18.78 img/s ETA 2251s
  [7750/50000] 18.78 img/s ETA 2250s
  [7775/50000] 18.79 img/s ETA 2247s
  [7800/50000] 18.80 img/s ETA 2244s
  [7825/50000] 18.82 img/s ETA 2241s
  [7850/50000] 18.81 img/s ETA 2241s
  [7875/50000] 18.80 img/s ETA 2240s
  [7900/50000] 18.80 img/s ETA 2239s
  [7925/50000] 18.82 img/s ETA 2236s
  [7950/50000] 18.83 img/s ETA 2234s
  [7975/50000] 18.84 img/s ETA 2231s
  [8000/50000] 18.83 img/s ETA 2230s
  [8025/50000] 18.84 img/s ETA 2227s
  [8050/50000] 18.85 img/s ETA 2225s
  [8075/50000] 18.86 img/s ETA 2223s
  [8100/50000] 18.87 img/s ETA 2221s
  [8125/50000] 18.88 img/s ETA 2218s
  [8150/50000] 18.88 img/s ETA 2217s
  [8175/50000] 18.88 img/s ETA 2215s
  [8200/50000] 18.88 img/s ETA 2214s
  [8225/50000] 18.87 img/s ETA 2213s
  [8250/50000] 18.89 img/s ETA 2211s
  [8275/50000] 18.86 img/s ETA 2212s
  [8300/50000] 18.87 img/s ETA 2210s
  [8325/50000] 18.85 img/s ETA 2211s
  [8350/50000] 18.86 img/s ETA 2208s
  [8375/50000] 18.84 img/s ETA 2210s
  [8400/50000] 18.83 img/s ETA 2209s
  [8425/50000] 18.84 img/s ETA 2207s
  [8450/50000] 18.83 img/s ETA 2207s
  [8475/50000] 18.84 img/s ETA 2204s
  [8500/50000] 18.83 img/s ETA 2203s
  [8525/50000] 18.85 img/s ETA 2201s
  [8550/50000] 18.84 img/s ETA 2200s
  [8575/50000] 18.82 img/s ETA 2201s
  [8600/50000] 18.81 img/s ETA 2201s
  [8625/50000] 18.80 img/s ETA 2201s
  [8650/50000] 18.77 img/s ETA 2203s
  [8675/50000] 18.77 img/s ETA 2202s
  [8700/50000] 18.78 img/s ETA 2200s
  [8725/50000] 18.79 img/s ETA 2197s
  [8750/50000] 18.80 img/s ETA 2194s
  [8775/50000] 18.81 img/s ETA 2191s
  [8800/50000] 18.81 img/s ETA 2190s
  [8825/50000] 18.82 img/s ETA 2188s
  [8850/50000] 18.82 img/s ETA 2186s
  [8875/50000] 18.81 img/s ETA 2186s
  [8900/50000] 18.82 img/s ETA 2184s
  [8925/50000] 18.83 img/s ETA 2182s
  [8950/50000] 18.83 img/s ETA 2180s
  [8975/50000] 18.84 img/s ETA 2178s
  [9000/50000] 18.85 img/s ETA 2175s
  [9025/50000] 18.86 img/s ETA 2173s
  [9050/50000] 18.85 img/s ETA 2172s
  [9075/50000] 18.85 img/s ETA 2171s
  [9100/50000] 18.85 img/s ETA 2169s
  [9125/50000] 18.85 img/s ETA 2168s
  [9150/50000] 18.87 img/s ETA 2165s
  [9175/50000] 18.87 img/s ETA 2163s
  [9200/50000] 18.88 img/s ETA 2161s
  [9225/50000] 18.89 img/s ETA 2158s
  [9250/50000] 18.90 img/s ETA 2156s
  [9275/50000] 18.90 img/s ETA 2155s
  [9300/50000] 18.89 img/s ETA 2155s
  [9325/50000] 18.89 img/s ETA 2153s
  [9350/50000] 18.89 img/s ETA 2152s
  [9375/50000] 18.90 img/s ETA 2150s
  [9400/50000] 18.90 img/s ETA 2148s
  [9425/50000] 18.91 img/s ETA 2146s
  [9450/50000] 18.88 img/s ETA 2148s
  [9475/50000] 18.88 img/s ETA 2147s
  [9500/50000] 18.87 img/s ETA 2147s
  [9525/50000] 18.83 img/s ETA 2149s
  [9550/50000] 18.84 img/s ETA 2147s
  [9575/50000] 18.82 img/s ETA 2148s
  [9600/50000] 18.81 img/s ETA 2148s
  [9625/50000] 18.81 img/s ETA 2146s
  [9650/50000] 18.82 img/s ETA 2144s
  [9675/50000] 18.82 img/s ETA 2142s
  [9700/50000] 18.83 img/s ETA 2140s
  [9725/50000] 18.84 img/s ETA 2138s
  [9750/50000] 18.85 img/s ETA 2136s
  [9775/50000] 18.85 img/s ETA 2134s
  [9800/50000] 18.86 img/s ETA 2132s
  [9825/50000] 18.87 img/s ETA 2129s
  [9850/50000] 18.87 img/s ETA 2127s
  [9875/50000] 18.88 img/s ETA 2125s
  [9900/50000] 18.89 img/s ETA 2122s
  [9925/50000] 18.89 img/s ETA 2121s
  [9950/50000] 18.90 img/s ETA 2119s
  [9975/50000] 18.90 img/s ETA 2118s
  [10000/50000] 18.90 img/s ETA 2116s
  [10025/50000] 18.91 img/s ETA 2114s
  [10050/50000] 18.91 img/s ETA 2112s
  [10075/50000] 18.91 img/s ETA 2111s
  [10100/50000] 18.91 img/s ETA 2110s
  [10125/50000] 18.92 img/s ETA 2108s
  [10150/50000] 18.93 img/s ETA 2105s
  [10175/50000] 18.94 img/s ETA 2103s
  [10200/50000] 18.96 img/s ETA 2100s
  [10225/50000] 18.94 img/s ETA 2100s
  [10250/50000] 18.94 img/s ETA 2098s
  [10275/50000] 18.95 img/s ETA 2096s
  [10300/50000] 18.95 img/s ETA 2095s
  [10325/50000] 18.89 img/s ETA 2101s
  [10350/50000] 18.87 img/s ETA 2102s
  [10375/50000] 18.87 img/s ETA 2100s
  [10400/50000] 18.87 img/s ETA 2098s
  [10425/50000] 18.88 img/s ETA 2096s
  [10450/50000] 18.88 img/s ETA 2094s
  [10475/50000] 18.89 img/s ETA 2092s
  [10500/50000] 18.90 img/s ETA 2090s
  [10525/50000] 18.89 img/s ETA 2089s
  [10550/50000] 18.88 img/s ETA 2089s
  [10575/50000] 18.88 img/s ETA 2089s
  [10600/50000] 18.89 img/s ETA 2086s
  [10625/50000] 18.90 img/s ETA 2084s
  [10650/50000] 18.91 img/s ETA 2081s
  [10675/50000] 18.92 img/s ETA 2079s
  [10700/50000] 18.92 img/s ETA 2078s
  [10725/50000] 18.93 img/s ETA 2075s
  [10750/50000] 18.93 img/s ETA 2074s
  [10775/50000] 18.91 img/s ETA 2074s
  [10800/50000] 18.88 img/s ETA 2076s
  [10825/50000] 18.89 img/s ETA 2074s
  [10850/50000] 18.86 img/s ETA 2076s
  [10875/50000] 18.87 img/s ETA 2074s
  [10900/50000] 18.87 img/s ETA 2072s
  [10925/50000] 18.88 img/s ETA 2070s
  [10950/50000] 18.89 img/s ETA 2068s
  [10975/50000] 18.90 img/s ETA 2065s
  [11000/50000] 18.91 img/s ETA 2063s
  [11025/50000] 18.92 img/s ETA 2060s
  [11050/50000] 18.91 img/s ETA 2060s
  [11075/50000] 18.93 img/s ETA 2056s
  [11100/50000] 18.93 img/s ETA 2055s
  [11125/50000] 18.92 img/s ETA 2054s
  [11150/50000] 18.93 img/s ETA 2052s
  [11175/50000] 18.93 img/s ETA 2051s
  [11200/50000] 18.94 img/s ETA 2049s
  [11225/50000] 18.91 img/s ETA 2050s
  [11250/50000] 18.92 img/s ETA 2048s
  [11275/50000] 18.92 img/s ETA 2047s
  [11300/50000] 18.92 img/s ETA 2045s
  [11325/50000] 18.92 img/s ETA 2044s
  [11350/50000] 18.93 img/s ETA 2042s
  [11375/50000] 18.92 img/s ETA 2042s
  [11400/50000] 18.92 img/s ETA 2041s
  [11425/50000] 18.91 img/s ETA 2040s
  [11450/50000] 18.90 img/s ETA 2039s
  [11475/50000] 18.91 img/s ETA 2037s
  [11500/50000] 18.92 img/s ETA 2035s
  [11525/50000] 18.93 img/s ETA 2033s
  [11550/50000] 18.93 img/s ETA 2032s
  [11575/50000] 18.94 img/s ETA 2029s
  [11600/50000] 18.95 img/s ETA 2027s
  [11625/50000] 18.93 img/s ETA 2028s
  [11650/50000] 18.93 img/s ETA 2026s
  [11675/50000] 18.93 img/s ETA 2025s
  [11700/50000] 18.92 img/s ETA 2024s
  [11725/50000] 18.93 img/s ETA 2022s
  [11750/50000] 18.94 img/s ETA 2019s
  [11775/50000] 18.94 img/s ETA 2019s
  [11800/50000] 18.95 img/s ETA 2016s
  [11825/50000] 18.95 img/s ETA 2015s
  [11850/50000] 18.94 img/s ETA 2015s
  [11875/50000] 18.94 img/s ETA 2013s
  [11900/50000] 18.95 img/s ETA 2011s
  [11925/50000] 18.93 img/s ETA 2012s
  [11950/50000] 18.93 img/s ETA 2010s
  [11975/50000] 18.93 img/s ETA 2008s
  [12000/50000] 18.94 img/s ETA 2006s
  [12025/50000] 18.95 img/s ETA 2004s
  [12050/50000] 18.94 img/s ETA 2003s
  [12075/50000] 18.93 img/s ETA 2004s
  [12100/50000] 18.93 img/s ETA 2002s
  [12125/50000] 18.94 img/s ETA 2000s
  [12150/50000] 18.94 img/s ETA 1998s
  [12175/50000] 18.95 img/s ETA 1996s
  [12200/50000] 18.96 img/s ETA 1994s
  [12225/50000] 18.96 img/s ETA 1992s
  [12250/50000] 18.97 img/s ETA 1990s
  [12275/50000] 18.96 img/s ETA 1990s
  [12300/50000] 18.96 img/s ETA 1988s
  [12325/50000] 18.96 img/s ETA 1987s
  [12350/50000] 18.97 img/s ETA 1985s
  [12375/50000] 18.98 img/s ETA 1982s
  [12400/50000] 18.99 img/s ETA 1980s
  [12425/50000] 18.99 img/s ETA 1979s
  [12450/50000] 19.00 img/s ETA 1976s
  [12475/50000] 18.99 img/s ETA 1976s
  [12500/50000] 19.00 img/s ETA 1974s
  [12525/50000] 18.97 img/s ETA 1976s
  [12550/50000] 18.98 img/s ETA 1973s
  [12575/50000] 18.99 img/s ETA 1971s
  [12600/50000] 19.00 img/s ETA 1969s
  [12625/50000] 18.98 img/s ETA 1969s
  [12650/50000] 18.99 img/s ETA 1967s
  [12675/50000] 18.99 img/s ETA 1965s
  [12700/50000] 19.00 img/s ETA 1963s
  [12725/50000] 19.00 img/s ETA 1962s
  [12750/50000] 18.98 img/s ETA 1962s
  [12775/50000] 18.98 img/s ETA 1961s
  [12800/50000] 18.98 img/s ETA 1960s
  [12825/50000] 18.97 img/s ETA 1960s
  [12850/50000] 18.97 img/s ETA 1958s
  [12875/50000] 18.97 img/s ETA 1957s
  [12900/50000] 18.98 img/s ETA 1955s
  [12925/50000] 18.96 img/s ETA 1956s
  [12950/50000] 18.95 img/s ETA 1955s
  [12975/50000] 18.95 img/s ETA 1954s
  [13000/50000] 18.96 img/s ETA 1951s
  [13025/50000] 18.96 img/s ETA 1950s
  [13050/50000] 18.97 img/s ETA 1948s
  [13075/50000] 18.98 img/s ETA 1945s
  [13100/50000] 18.96 img/s ETA 1946s
  [13125/50000] 18.97 img/s ETA 1944s
  [13150/50000] 18.97 img/s ETA 1942s
  [13175/50000] 18.95 img/s ETA 1943s
  [13200/50000] 18.96 img/s ETA 1941s
  [13225/50000] 18.94 img/s ETA 1942s
  [13250/50000] 18.93 img/s ETA 1941s
  [13275/50000] 18.94 img/s ETA 1940s
  [13300/50000] 18.92 img/s ETA 1940s
  [13325/50000] 18.92 img/s ETA 1938s
  [13350/50000] 18.93 img/s ETA 1936s
  [13375/50000] 18.92 img/s ETA 1936s
