[quick] runs_dir = /root/runs/quick_phase1
[quick] image-size = 256
[quick] frames-per-video train/eval = 30/10
[quick] enumerating videos for the disjoint split ...
[quick] split: train=1400 val=300 test=300 (of 2000 total videos)
[quick] dataset sizes: train=124227 val=8160 test=8540
[quick] extracting features (val) ...
  [25/8160] 8.54 images/s, ETA 952s
  [50/8160] 8.07 images/s, ETA 1004s
  [75/8160] 8.15 images/s, ETA 992s
  [100/8160] 8.03 images/s, ETA 1003s
  [125/8160] 7.94 images/s, ETA 1011s
  [150/8160] 7.50 images/s, ETA 1068s
  [175/8160] 7.48 images/s, ETA 1067s
  [200/8160] 7.80 images/s, ETA 1020s
  [225/8160] 7.80 images/s, ETA 1018s
  [250/8160] 7.56 images/s, ETA 1047s
  [275/8160] 7.78 images/s, ETA 1013s
  [300/8160] 7.69 images/s, ETA 1022s
  [325/8160] 7.78 images/s, ETA 1007s
  [350/8160] 7.86 images/s, ETA 993s
  [375/8160] 8.04 images/s, ETA 968s
  [400/8160] 8.00 images/s, ETA 970s
  [425/8160] 7.92 images/s, ETA 976s
  [450/8160] 7.85 images/s, ETA 982s
  [475/8160] 8.04 images/s, ETA 956s
  [500/8160] 8.09 images/s, ETA 947s
  [525/8160] 8.13 images/s, ETA 939s
  [550/8160] 8.29 images/s, ETA 918s
  [575/8160] 8.32 images/s, ETA 912s
  [600/8160] 8.40 images/s, ETA 900s
  [625/8160] 8.53 images/s, ETA 883s
  [650/8160] 8.47 images/s, ETA 886s
  [675/8160] 8.63 images/s, ETA 867s
  [700/8160] 8.64 images/s, ETA 863s
  [725/8160] 8.64 images/s, ETA 861s
  [750/8160] 8.72 images/s, ETA 850s
  [775/8160] 8.70 images/s, ETA 849s
  [800/8160] 8.57 images/s, ETA 859s
  [825/8160] 8.58 images/s, ETA 855s
  [850/8160] 8.70 images/s, ETA 841s
  [875/8160] 8.78 images/s, ETA 830s
  [900/8160] 8.79 images/s, ETA 826s
  [925/8160] 8.76 images/s, ETA 826s
  [950/8160] 8.80 images/s, ETA 819s
  [975/8160] 8.94 images/s, ETA 804s
  [1000/8160] 8.91 images/s, ETA 804s
  [1025/8160] 8.98 images/s, ETA 794s
  [1050/8160] 8.96 images/s, ETA 794s
  [1075/8160] 8.97 images/s, ETA 790s
  [1100/8160] 8.93 images/s, ETA 790s
  [1125/8160] 8.85 images/s, ETA 795s
  [1150/8160] 8.74 images/s, ETA 802s
  [1175/8160] 8.74 images/s, ETA 799s
  [1200/8160] 8.80 images/s, ETA 791s
  [1225/8160] 8.77 images/s, ETA 791s
